NoRakit,nomorBatang,barcode,jenisKayu,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
2807,1152,1713A46TEST0000000000013496,Meranti Merah,20.4,60,44,52,4.33,,0
2808,41,1713A46TEST0000000000012385,Keruing,12.8,86,64,75,5.65,,0
2809,1185,1713A46TEST0000000000013529,Meranti Merah,17.6,60,39,49,3.32,,0
2810,1213,1713A46TEST0000000000013557,Keruing,18.5,57,40,48,3.35,,0
2811,1205,1713A46TEST0000000000013549,Benuas,11.6,64,52,58,2.95,10,3.8
2812,1360,1713A46TEST0000000000013704,Keruing,14.6,65,54,59,3.99,,0
2813,2874,1713A46TEST0000000000015218,Meranti Merah,12.6,112,97,104,10.7,,0
2814,335,1713A46TEST0000000000012679,Keruing,14.6,79,65,72,5.94,,0
2815,1379,1713A46TEST0000000000013723,Meranti Merah,16.6,67,50,58,4.39,,0
2816,1228,1713A46TEST0000000000013572,Meranti Merah,20.2,73,54,63,6.3,,0
2817,2878,1713A46TEST0000000000015222,Meranti Merah,20.9,67,58,62,6.31,,0
2818,126,1713A46TEST0000000000012470,Meranti Merah,14.9,59,50,54,3.41,,0
2819,1842,1713A46TEST0000000000014186,Keruing,17.7,73,52,62,5.34,,0
2820,1092,1713A46TEST0000000000013436,Benuas,12,74,68,71,4.75,,0
2821,213,1713A46TEST0000000000012557,Keruing,13.7,61,51,56,3.24,10,4.1
2822,2258,1713A46TEST0000000000014602,Benuas,17.6,65,42,53,3.88,,0
2823,1773,1713A46TEST0000000000014117,Keruing,21.4,65,44,54,4.9,,0
2824,3081,1713A46TEST0000000000015425,Keruing,12.8,92,83,87,7.61,,0
2825,2376,1713A46TEST0000000000014720,Meranti Merah,19.5,64,50,57,4.78,10,3.9
2826,1942,1713A46TEST0000000000014286,Keruing,16,105,77,91,10.41,,0
2827,2843,1713A46TEST0000000000015187,Meranti Kuning,17.3,68,48,58,4.28,13,6.4
2828,2926,1713A46TEST0000000000015270,Keruing,17.2,71,55,63,5.36,,0
2829,1521,1713A46TEST0000000000013865,Keruing,16.8,96,75,85,9.53,,0
2830,1082,1713A46TEST0000000000013426,Meranti Merah,14.9,56,41,48,2.7,,0
2831,2660,1713A46TEST0000000000015004,Keruing,17.6,51,44,47,3.05,,0
2832,2626,1713A46TEST0000000000014970,Benuas,21.6,78,66,72,8.79,,0
2833,1545,1713A46TEST0000000000013889,Benuas,10.1,92,86,89,6.28,,0
2834,294,1713A46TEST0000000000012638,Benuas,11.2,105,91,98,8,20,5.3
2835,2409,1713A46TEST0000000000014753,Keruing,19.4,68,52,60,5.49,,0
2836,136,1713A46TEST0000000000012480,Meranti Merah,9.8,56,48,52,2.08,,0
2837,298,1713A46TEST0000000000012642,Keruing,17.5,70,48,59,4.78,,0
2838,618,1713A46TEST0000000000012962,Meranti Merah,9.6,52,44,48,1.74,,0
2839,2058,1713A46TEST0000000000014402,Meranti Batu,13.3,62,52,57,3.39,,0
2840,917,1713A46TEST0000000000013261,Keruing,15.1,93,71,82,7.97,,0
2841,1584,1713A46TEST0000000000013928,Meranti Merah,18.1,77,63,70,6.97,,0
2842,939,1713A46TEST0000000000013283,Meranti Merah,11.5,54,46,50,2.26,,0
2843,3246,1713A46TEST0000000000015590,Meranti Batu,16.1,68,53,60,4.55,,0
2844,631,1713A46TEST0000000000012975,Benuas,17.9,90,68,79,8.77,,0
2845,1775,1713A46TEST0000000000014119,Keruing,22.3,75,57,66,7.63,,0
2846,1574,1713A46TEST0000000000013918,Meranti Merah,12.3,62,54,58,3.25,,0
2847,616,1713A46TEST0000000000012960,Keruing,20.8,75,63,69,7.78,,0
2848,3102,1713A46TEST0000000000015446,Keruing,12.4,104,77,90,7.89,,0
2849,55,1713A46TEST0000000000012399,Meranti Kuning,13.1,63,50,56,3.23,,0
2850,2868,1713A46TEST0000000000015212,Keruing,12.9,64,54,59,3.53,,0
2851,1439,1713A46TEST0000000000013783,Keruing,17,77,65,71,6.73,,0
2852,2950,1713A46TEST0000000000015294,Keruing,14.5,56,43,49,2.73,,0
2853,2155,1713A46TEST0000000000014499,Keruing,18.9,80,57,68,6.86,,0
2854,1681,1713A46TEST0000000000014025,Meranti Merah,12.6,82,64,73,5.27,,0
2855,3003,1713A46TEST0000000000015347,Keruing,12.7,74,60,67,4.19,15,6.4
2856,2707,1713A46TEST0000000000015051,Keruing,12.8,54,49,51,2.61,,0
2857,2303,1713A46TEST0000000000014647,Keruing,18.7,55,45,50,3.67,,0
2858,2106,1713A46TEST0000000000014450,Keruing,10.8,113,88,100,8.48,,0
2859,227,1713A46TEST0000000000012571,Meranti Merah,18.1,59,39,49,3.41,,0
2860,1899,1713A46TEST0000000000014243,Keruing,16.7,77,56,66,5.71,,0
2861,2445,1713A46TEST0000000000014789,Keruing,17.7,65,45,55,4.21,,0
2862,2497,1713A46TEST0000000000014841,Lambin,17.6,71,60,65,5.84,,0
2863,332,1713A46TEST0000000000012676,Keruing,19,65,43,54,4.35,,0
