noBtg,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
A7648,KR,20.8,76,52,64,6.69,0,0
A7649,KR,20.5,75,54,64,6.59,0,0
A7650,KR,21.6,65,52,58,5.71,0,0
A7651,MR,21.7,78,54,66,6.8,17,8.4
A7652,MR,18,92,78,85,9.5,20,7
A7653,MB,17.6,63,52,57,4.15,14,7.7
A7654,MR,20.7,77,60,68,7.11,14,5.4
A7655,BNS,17,70,52,61,4.35,19,12.4
A7656,MR,15.4,78,63,70,5.93,0,0
A7657,MR,14.3,64,55,59,3.91,0,0
A7658,MR,20.7,79,55,67,7.3,0,0
A7659,MR,21,82,63,72,8.55,0,0
A7660,MR,11.8,100,90,95,8.06,16,3.6
A7661,BNS,17.3,71,61,66,5.92,0,0
A7662,MR,19.1,80,59,69,7.14,0,0
A7663,MR,23.1,72,53,62,6.97,0,0
A7664,MR,20.5,60,50,55,4.87,0,0
A7665,KR,21.5,60,52,56,4.26,22,19.6
A7666,KR,19.5,92,67,79,9.56,0,0
A7667,KR,17.9,65,46,55,4.25,0,0
A7668,KR,21.5,62,42,52,4.57,0,0
A7669,KR,18.2,62,46,54,4.17,0,0
A7670,KR,17.2,62,48,55,4.09,0,0
A7671,MR,21.7,70,50,60,6.14,0,0
A7672,KR,17.9,68,54,61,4.65,18,11.1
A7673,KR,18.8,60,41,50,3.69,0,0
